7.79363;-0.0138349;-0.0404808;-3.84906;4.13732;57.0159;9.98499;0.67;0.38;-0.792683;237.051;1544174797025
8.00513;-0.0117065;-0.0425224;-4.05718;4.14447;57.0159;9.98499;0.61;0.38;-0.670732;237.461;1544174797051
0;-0.0117065;0;0;4.14447;57.0159;9.98499;0.68;0.4;-0.731707;237.282;1544174797062
0.32457;-0.0138349;-0.000138509;-0.012982;4.1429;57.0159;9.98499;0.67;0.4;-0.792683;237.371;1544174797102
0.510518;-0.0148992;-0.000285106;-0.024723;4.1429;57.0159;9.98499;0.63;0.43;-0.853659;237.371;1544174797125
0.722008;-0.0138349;-0.000509344;-0.0434939;4.1358;57.0159;9.98499;0.67;0.38;-0.792683;236.964;1544174797151
0.916739;-0.0148992;-0.000743157;-0.0654944;4.14999;57.0159;9.98499;0.71;0.4;-0.853659;237.777;1544174797175
1.13609;-0.0159634;-0.00104743;-0.0961672;4.14566;57.0159;9.98499;0.7;0.39;-0.914634;237.529;1544174797202
1.32155;-0.0138349;-0.00133127;-0.126562;4.14724;57.0159;9.98499;0.71;0.45;-0.792683;237.619;1544174797225
1.532;-0.0159634;-0.00171064;-0.166392;4.14566;57.0159;9.98499;0.67;0.42;-0.914634;237.529;1544174797251
1.72601;-0.0180918;-0.00207614;-0.207815;4.14724;57.0159;9.98499;0.73;0.43;-1.03659;237.619;1544174797275
1.94509;-0.0127707;-0.00252127;-0.26033;4.15433;57.0159;9.98499;0.71;0.4;-0.731707;238.026;1544174797302
2.13147;-0.0138349;-0.00291451;-0.309352;4.15271;57.0159;9.98499;0.73;0.41;-0.792683;237.933;1544174797325
2.3427;-0.0127707;-0.0034108;-0.370261;4.14724;57.0159;9.98499;0.68;0.39;-0.731707;237.619;1544174797351
2.5379;-0.0138349;-0.00386118;-0.431169;4.14566;57.0159;9.98499;0.77;0.38;-0.792683;237.529;1544174797375
2.75725;-0.0138349;-0.0044018;-0.505612;4.15433;57.0159;9.98499;0.71;0.39;-0.792683;238.026;1544174797402
2.95222;-0.0159634;-0.0048919;-0.576464;4.15271;57.0159;9.98499;0.74;0.39;-0.914634;237.933;1544174797426
3.14647;-0.0148992;-0.00540882;-0.651977;4.14566;57.0159;9.98499;0.71;0.42;-0.853659;237.529;1544174797450
3.34121;-0.0138349;-0.00597561;-0.732164;4.15433;57.0159;9.98499;0.67;0.4;-0.792683;238.026;1544174797474
3.56814;-0.0159634;-0.00673608;-0.832069;4.14999;57.0159;9.98499;0.63;0.41;-0.914634;237.777;1544174797502
3.75338;-0.0170276;-0.00740656;-0.918395;4.14999;57.0159;9.98499;0.67;0.46;-0.97561;237.777;1544174797525
3.96434;-0.0180918;-0.00819596;-1.02146;4.14999;57.0159;9.98499;0.71;0.4;-1.03659;237.777;1544174797551
4.15836;-0.0159634;-0.00896299;-1.12126;4.14724;57.0159;9.98499;0.69;0.43;-0.914634;237.619;1544174797575
4.37907;-0.0180918;-0.009889;-1.23949;4.14999;57.0159;9.98499;0.67;0.34;-1.03659;237.777;1544174797602
4.56592;-0.0202203;-0.0107289;-1.34451;4.14724;57.0159;9.98499;0.66;0.39;-1.15854;237.619;1544174797625
4.7748;-0.0148992;-0.0116896;-1.46865;4.1429;57.0159;9.98499;0.74;0.48;-0.853659;237.371;1544174797651
4.96979;-0.0180918;-0.0126435;-1.58792;4.14566;57.0159;9.98499;0.64;0.39;-1.03659;237.529;1544174797675
